,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
282,I Need a Lifeguard Everywhere But the Pool,Lisa Scottoline,3.66,320,St. Martin's Press,1250059968,Nonfiction,1,8906,2017-07-11
283,This Is Really Happening,Erin Chack,4.0,240,Razorbill,0448493586,Nonfiction,0,35,2017-04-25
284,Everything Is Awful: And Other Observations,Matt Bellassai,3.69,247,Atria/Keywords Press,1501166492,Nonfiction,0,31,2017-10-24
285,Waiting for the Punch: Words to Live by from the WTF Podcast,Marc Maron,4.01,416,Flatiron Books,1250088887,Nonfiction,0,231,2017-10-10
286,How to Be a Bawse: A Guide to Conquering Life,Lilly Singh,4.07,315,Ballantine Books,0425286460,Nonfiction,0,859,2017-03-28
287,How to Be a Bawse: A Guide to Conquering Life,Lilly Singh,4.07,315,Ballantine Books,0425286460,Nonfiction,0,859,2017-03-28
288,How to Be a Bawse: A Guide to Conquering Life,Lilly Singh,4.07,315,Ballantine Books,0425286460,Nonfiction,0,859,2017-03-28
289,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4.54,63,Knopf Publishing Group,152473313X,Nonfiction,0,23322,2017-03-07
290,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,Michael Finkel,3.88,203,Knopf Publishing Group,1101875682,Nonfiction,0,544,2017-03-07
291,The Lost City of the Monkey God: A True Story,Douglas Preston,3.91,328,Grand Central Publishing,1455540005,Nonfiction,0,8581,2017-01-03
292,From Here to Eternity: Traveling the World to Find the Good Death,Caitlin Doughty,4.29,248,W. W. Norton & Company,0393249891,Add,0,3383,2017-10-03
293,We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,4.43,367,One World,0399590560,Nonfiction,0,8415,2017-10-03
294,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,3.87,240,WH Allen,0753548283,Add,0,2460,2017-04-24
295,Of Mess and Moxie: Wrangling Delight Out of This Wild and Glorious Life,Jen Hatmaker,4.04,266,Thomas Nelson,0718031849,Nonfiction,0,1668,2017-08-08
