,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
189,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
190,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
191,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
192,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
193,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
194,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
195,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
196,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
197,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,Katie Davis Majors,4.54,209,Multnomah Books,0735290512,Nonfiction,0735290512,129,2017-10-03
198,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
199,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
200,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
201,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
202,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
203,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
204,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
205,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
206,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
207,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
208,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
209,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
210,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
211,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
212,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
213,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
214,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
215,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
216,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
217,Priestdaddy,Patricia Lockwood,3.85,336,Riverhead Books,1594633738,Autobiography,1594633738,507,2017-05-02
